venue_name,address,rating,reviews,price,type,lat,lng,day_of_week,hour,hour_label,busyness,busyness_info
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Wednesday,6,6 AM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Wednesday,7,7 AM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Wednesday,8,8 AM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Wednesday,9,9 AM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Wednesday,10,10 AM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Wednesday,11,11 AM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Wednesday,12,12 PM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Wednesday,13,1 PM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Wednesday,14,2 PM,0,
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Wednesday,15,3 PM,12,Usually not busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Wednesday,16,4 PM,12,Usually not busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Wednesday,17,5 PM,11,Usually not busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Wednesday,18,6 PM,10,Usually not busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Wednesday,19,7 PM,11,Usually not busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Wednesday,20,8 PM,15,Usually not busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Wednesday,21,9 PM,18,Usually not busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Wednesday,22,10 PM,22,Usually not too busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Wednesday,23,11 PM,22,Usually not too busy
Corby's Irish Pub,"441 E Lasalle Ave, South Bend, IN 46617",4.1,717,$10–20,"['Bar', 'Bar & grill', 'Irish pub']",41.6793475,-86.24467829999999,Wednesday,0,12 AM,22,Usually not too busy
